year,month,month_name,day_of_week,hour,median_price_eur_mwh,source
2010,1,Jan,Monday,00:00,40.83,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,01:00,38.84,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,02:00,37.26,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,03:00,36.52,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,04:00,36.57,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,05:00,40.29,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,06:00,49.65,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,07:00,59.68,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,08:00,67.81,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,09:00,71.66,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,10:00,72.34,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,11:00,65.84,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,12:00,62.54,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,13:00,65.79,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,14:00,67.88,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,15:00,66.75,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,16:00,73.38,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,17:00,85.23,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,18:00,77.9,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,19:00,74.09,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,20:00,62.6,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,21:00,56.22,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,22:00,50.5,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Monday,23:00,44.64,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,00:00,38.55,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,01:00,37.59,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,02:00,36.47,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,03:00,36.14,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,04:00,34.91,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,05:00,44.0,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,06:00,50.62,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,07:00,58.88,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,08:00,68.88,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,09:00,70.2,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,10:00,72.54,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,11:00,69.22,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,12:00,64.88,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,13:00,65.97,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,14:00,65.06,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,15:00,69.22,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,16:00,73.88,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,17:00,82.11,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,18:00,78.89,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,19:00,68.02,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,20:00,61.39,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,21:00,56.31,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,22:00,48.84,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Tuesday,23:00,42.1,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Wednesday,00:00,40.43,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
2010,1,Jan,Wednesday,01:00,38.38,EPEX SPOT NL Day-Ahead (ENTSO-E/Ember/ACER)
