year,month,month_name,day_of_week,hour,median_price_eur_mwh,source
2010,1,Jan,Monday,00:00,16.54,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,01:00,16.38,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,02:00,15.21,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,03:00,15.4,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,04:00,16.11,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,05:00,19.19,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,06:00,24.73,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,07:00,29.41,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,08:00,27.67,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,09:00,24.65,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,10:00,22.95,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,11:00,23.11,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,12:00,22.28,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,13:00,21.85,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,14:00,21.82,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,15:00,21.94,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,16:00,24.91,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,17:00,29.24,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,18:00,29.6,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,19:00,27.89,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,20:00,25.26,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,21:00,23.11,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,22:00,20.53,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Monday,23:00,17.62,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,00:00,17.08,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,01:00,16.23,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,02:00,15.1,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,03:00,15.49,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,04:00,16.18,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,05:00,19.17,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,06:00,25.36,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,07:00,28.8,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,08:00,27.87,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,09:00,25.28,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,10:00,23.78,TTF front-month (ICE/World Bank/IEA)
2010,1,Jan,Tuesday,11:00,22.8,TTF front-month (ICE/World Bank/IEA)
